epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.7005911779403686,0.5792828436545928,0.6895469489097595,0.6457386666666667,0.526,0.47733333333333333,0.672
2,1,0.6768908924375262,0.6642249475456384,0.6802974100112915,0.6535253333333333,0.584,0.5946666666666667,0.552
3,1,0.6729271541322981,0.6756543838654153,0.6794748158454895,0.6647466666666667,0.568,0.5306666666666666,0.68
4,1,0.6665520007269723,0.690977849810913,0.674786455631256,0.681408,0.556,0.5066666666666667,0.704
5,1,0.6637556776319231,0.6922354195720729,0.6640808897018433,0.7090560000000001,0.596,0.5626666666666666,0.696
6,1,0.6677588129724775,0.6859220503059315,0.6688449420928955,0.7105279999999998,0.6,0.552,0.744
7,2,0.608286558015006,0.7875150767027251,0.5714764935970307,0.8554453333333334,0.738,0.7093333333333334,0.824
8,2,0.5056654750279018,0.8993496601459927,0.5245167756080628,0.8982186666666667,0.774,0.7493333333333333,0.848
9,2,0.4270215336935861,0.9507949819707764,0.4968898963928223,0.90784,0.826,0.8533333333333334,0.744
10,2,0.37502498514311655,0.9749958382018521,0.5101417009830475,0.9065813333333334,0.816,0.8026666666666666,0.856
11,2,0.3336509861946106,0.9885664411443218,0.49832073402404786,0.9146240000000001,0.866,0.8986666666666666,0.768
12,2,0.31227175746645247,0.9928063711632934,0.4815694489479065,0.9193386666666666,0.87,0.8986666666666666,0.784
13,2,0.29862055121149333,0.9955488390938901,0.5134075713157654,0.9027413333333333,0.868,0.8986666666666666,0.776
14,2,0.276926141330174,0.999029044639604,0.49386244678497315,0.9137706666666667,0.868,0.904,0.76
15,2,0.28088560911587307,0.9980942105461535,0.47848009848594664,0.9248426666666667,0.862,0.872,0.832
16,2,0.26791136959620887,0.9993647368487178,0.48981198835372924,0.9159893333333334,0.898,0.944,0.76
17,2,0.2598605556317738,0.9998629747590869,0.48267570114135744,0.905024,0.894,0.9173333333333333,0.824
18,2,0.261318213054112,0.998985856168256,0.46878182697296145,0.917696,0.892,0.9226666666666666,0.8
19,2,0.25694329197066174,0.9999112673225032,0.48225605964660645,0.9078400000000001,0.892,0.9306666666666666,0.776
20,2,0.25502353770392283,0.9999458180995817,0.47457864809036254,0.9229226666666666,0.888,0.9173333333333333,0.8
21,2,0.2531666648898806,0.9999383582727125,0.4871243395805359,0.9083093333333332,0.896,0.944,0.752
22,2,0.25149241941315786,0.9999827246114608,0.4741180000305176,0.9191893333333332,0.896,0.9306666666666666,0.792
23,2,0.25055998011997765,0.999992147550664,0.4846503348350525,0.9148586666666667,0.9,0.9466666666666667,0.76
